;Latitude;Longitude;cluster
577;51.632;4.95;-1
578;52.536;13.432;58
579;50.878;4.382;-1
580;47.064;15.422;59
581;48.89;9.134;-1
582;50.15;-5.616;-1
583;52.268;6.77;-1
584;50.148;19.76;70
585;53.068;18.234;75
586;52.35;9.79;42
587;43.206;23.55;-1
588;46.925;15.48;59
589;42.832;23.196;-1
590;42.496;25.036;80
591;50.922;3.99;-1
592;48.773;9.282;-1
593;45.922;6.716;-1
594;52.228;21.026;72
595;42.714;23.18;-1
596;51.61;6.928;-1
597;48.608;11.436;12
598;51.886;17.078;-1
599;49.462;11.094;44
600;45.108;5.674;67
601;45.084;5.732;67
602;50.0;8.646;4
603;52.238;10.716;43
604;50.226;8.682;5
605;51.384;10.316;-1
606;50.144;8.428;-1
607;51.132;16.848;73
608;49.452;11.05;44
609;50.444;30.54;92
610;49.038;10.608;-1
611;50.302;18.736;69
612;51.946;20.14;71
613;52.83;13.788;-1
614;49.878;8.65;4
615;54.316;10.148;49
616;46.686;7.852;-1
617;49.35;19.386;-1
618;52.286;14.042;-1
619;51.20945;4.431688;35
620;48.072;11.682;12
621;53.576;9.96;48
622;47.261;11.399;-1
623;50.822;4.336;-1
624;45.194;5.684;67
625;50.69;4.4;-1
626;53.59;10.054;-1
627;50.932;0.246;84
628;49.806;7.124;-1
629;51.992;9.228;41
630;48.886;9.394;-1
631;54.352;9.074;-1
632;48.088;11.472;12
633;48.102;11.636;12
634;48.112;11.638;12
635;53.614;9.882;-1
636;45.572;10.002;-1
637;52.544;13.374;-1
638;49.102;-0.37;-1
639;51.424;11.764;-1
640;51.048;13.784;55
641;52.164;5.518;-1
642;42.232;24.726;80
643;50.754;11.508;-1
644;51.906;4.454;31
645;49.836;7.078;-1
646;44.794;-0.676;89
647;48.928;8.568;-1
648;49.902;10.876;44
649;48.89;8.24;2
650;53.59;9.96;48
651;47.894;11.424;12
652;48.738;9.32;-1
653;42.59;12.63;-1
654;50.878;4.686;33
655;50.834;15.782;-1
656;48.706;9.258;-1
657;50.992;6.798;-1
658;59.656;9.666;-1
659;50.836;4.348;-1
660;51.196;6.408;-1
661;48.878;13.316;-1
662;50.968;6.828;-1
663;50.892;3.992;-1
664;51.328;7.322;-1
665;48.116;11.67;12
666;51.172;4.158;-1
667;50.934;4.668;33
668;52.3904;9.736771;42
669;51.076;3.782;36
670;52.188;8.6;41
671;52.41;13.438;-1
672;49.55;25.564;-1
673;48.714;9.584;-1
674;46.706;12.34;-1
675;51.034;3.744;36
676;47.872;12.972;-1
677;46.802;11.952;-1
678;51.776;8.806;41
679;48.306;9.83;7
680;48.94;8.962;-1
681;49.596;6.142;-1
682;45.462;10.974;64
683;51.982;9.226;41
684;45.712;4.8;67
685;54.182;7.89;-1
686;52.482;13.356;-1
687;56.984;24.164;-1
688;50.874;4.378;34
689;50.089;9.068;-1
690;48.174;9.782;7
691;48.174;9.782;7
692;48.17;8.596;-1
693;52.51;13.456;58
694;45.486;9.19;61
695;44.512;11.352;63
696;49.004;8.37;2
697;52.242;8.168;41
698;51.332;9.458;45
699;52.014;8.54;41
700;50.36;7.582;-1
701;48.256;10.084;7
702;51.102;3.856;36
703;48.632;-1.986;88
704;48.638;-2.014;88
705;48.638;-1.992;88
706;51.056;7.262;-1
707;49.548;11.926;-1
708;50.936;6.552;-1
709;48.648;-1.998;88
710;51.828;8.656;41
711;53.076;18.208;75
712;53.552;9.91;48
713;51.258;6.806;17
714;49.718;11.902;-1
715;49.864;8.64;4
716;48.666;-1.972;88
717;48.644;-1.984;88
718;48.274;7.794;10
719;51.222;4.406;35
720;50.56;17.852;-1
721;51.03;13.812;55
722;47.82;10.534;-1
723;49.905;10.94;44
724;50.238;8.406;-1
725;47.49;11.116;-1
726;48.556;9.342;-1
727;50.94;20.564;-1
728;50.028;19.938;70
729;52.017;8.539;41
730;50.852;20.628;-1
731;50.854;20.58;-1
732;50.848;20.542;-1
733;50.84;20.478;-1
734;49.558;8.674;3
735;47.904;8.11;10
736;48.16;9.202;-1
737;52.222;20.916;72
738;53.614;9.894;-1
739;43.338;25.502;-1
740;50.87;4.316;-1
741;51.698;-0.292;85
742;48.762;9.168;0
743;51.164;16.924;73
744;47.102;15.452;59
745;50.786;7.84;-1
746;48.788;9.208;0
747;47.982;7.796;10
748;48.988;8.45;2
749;48.654;9.25;-1
750;51.336;12.34;53
751;48.586;12.066;-1
752;48.596;9.238;-1
753;47.944;11.776;12
754;47.942;11.804;12
755;50.264;6.798;-1
756;49.872;6.188;-1
757;51.092;3.458;36
758;48.817;9.249;0
759;45.946;6.14;67
760;51.664;7.116;-1
761;52.386;9.718;42
762;52.482;9.108;-1
763;49.852;19.7;70
764;48.02;11.478;12
765;50.862;4.328;-1
766;51.82;19.426;-1
767;48.066;8.54;-1
768;51.338;12.524;53
769;41.564;23.296;-1
770;48.396;9.99;7
771;47.06;15.387;59
772;42.712;23.376;-1
773;42.664;23.264;-1
774;42.706;23.344;79
775;43.788;23.71;-1
776;47.864;13.054;-1
777;49.988;8.182;6
778;51.123;7.397;-1
779;52.386;16.94;74
780;50.23;7.764;-1
781;51.27;7.224;-1
782;50.658;12.704;54
783;46.038;14.612;-1
784;51.554;7.812;-1
785;48.644;9.006;1
786;52.394;13.268;-1
787;51.0;4.662;33
788;48.131;11.502;12
789;51.078;3.776;36
790;51.07;17.038;73
791;49.882;8.662;4
792;49.846;8.646;4
793;51.096;17.19;-1
794;50.802;6.984;-1
795;42.018;23.986;-1
796;40.104;18.328;-1
797;54.192;15.67;-1
798;48.778;9.126;0
799;44.65;10.938;-1
800;51.284;7.226;-1
801;42.664;23.373;-1
802;56.96;24.13;-1
803;49.93;8.606;4
804;43.03;25.108;-1
805;51.79633;18.197147;-1
806;50.902;4.354;-1
807;48.067;11.14;12
808;47.998;11.338;12
809;48.558;9.234;-1
810;49.99;8.028;-1
811;53.404;-1.51;86
812;51.502;7.414;-1
813;51.576;0.194;85
814;53.388;-1.504;86
815;48.818;2.322;66
816;51.278;12.398;53
817;48.692;8.182;-1
818;46.988;15.47;59
819;56.976;24.168;-1
820;49.43;11.412;44
821;48.89;9.191;-1
822;49.022;12.096;13
823;51.698;-0.292;85
824;51.05;7.108;-1
825;52.172;21.544;72
826;51.448;6.65;18
827;50.966;10.07;-1
828;52.106;21.024;72
829;42.651;23.335;-1
830;51.002;4.356;-1
831;47.684;9.204;-1
832;52.444;13.578;-1
833;49.412;20.956;-1
834;54.084;18.798;76
835;48.288;8.726;-1
836;52.37;9.342;-1
837;48.092;-1.382;88
838;53.11;8.468;50
839;48.791;8.964;-1
840;51.488;6.668;18
841;50.916;4.698;33
842;50.87;20.682;-1
843;57.696;11.944;83
844;59.512;18.05;91
845;59.302;18.108;91
846;42.692;23.332;79
847;52.728;9.23;-1
848;50.032;8.784;5
849;52.522;13.454;58
850;51.938;8.464;41
851;48.886;9.426;-1
852;51.486;6.95;19
853;42.685;23.301;78
854;48.812;9.128;0
855;50.872;4.312;-1
856;49.968;9.062;-1
857;51.032;13.708;55
858;51.528;6.952;19
859;53.046;10.512;-1
860;46.778;10.17;-1
861;42.685;23.356;79
862;50.854;6.454;-1
863;50.746;4.272;-1
864;51.748;19.39;-1
865;50.078;19.968;70
866;60.39;5.344;-1
867;53.754;9.922;-1
868;51.066;16.99;73
869;48.73;11.566;-1
870;42.646;23.638;-1
871;51.91;8.37;41
872;47.078;15.462;59
873;50.536;12.688;54
874;48.806;11.772;-1
875;47.944;11.414;12
876;52.512;13.52;-1
877;52.468;13.776;-1
878;53.674;10.102;-1
879;50.596;17.648;-1
880;53.354;-1.48;86
881;50.098;8.726;5
882;50.83;12.834;54
883;52.516;13.318;57
884;52.146;12.844;-1
885;42.612;23.342;-1
886;52.456;10.85;43
887;50.308;9.27;-1
888;51.522;6.302;-1
889;50.872;4.73;33
890;50.104;8.754;5
891;52.488;13.462;58
892;43.566;27.824;81
893;48.364;10.904;11
894;52.194;21.006;72
895;48.086;-1.652;88
896;45.596;5.284;67
897;48.122;11.536;12
898;52.524;13.694;-1
899;49.401;8.64;3
900;52.646;13.526;-1
901;52.184;5.772;-1
902;42.684;23.322;79
903;42.686;23.374;-1
904;46.034;14.496;-1
905;43.202;27.92;81
906;48.148;11.594;12
907;50.772;19.67;-1
908;53.52;10.104;-1
909;50.988;5.194;32
910;48.786;9.17;0
911;51.528;21.204;72
912;52.192;20.9;72
913;51.464;6.968;19
914;50.116;8.424;-1
915;42.664;23.24;-1
916;52.0;5.132;27
917;51.108;13.622;55
918;51.072;17.036;73
919;48.887;9.196;-1
920;50.858;-1.778;87
921;49.61;11.016;44
922;48.82;2.346;66
923;55.686;37.566;93
924;52.334;9.506;-1
925;53.928;18.522;76
926;50.934;3.162;37
927;43.366;28.068;81
928;43.848;25.958;-1
929;50.894;4.374;-1
930;49.694;19.16;-1
931;48.762;9.178;0
932;53.578;9.974;48
933;48.806;2.236;66
934;50.876;4.382;34
935;50.874;4.698;33
936;50.15;8.15;6
937;52.03;4.69;30
938;53.412;-1.328;86
939;44.508;11.128;63
940;50.496;8.196;-1
941;47.072;15.43;59
942;51.99;9.27;41
