;cluster;Latitude;Longitude
443;18;51.052;3.708
444;6;47.97;7.83
445;-1;48.276;14.444
446;29;52.556;13.394
447;-1;50.14;8.138
448;34;50.682;18.51
449;0;48.74;9.306
450;-1;48.834;10.088
451;29;52.37;13.314
452;18;51.016;3.72
453;44;53.356;-1.504
454;8;51.528;6.748
455;6;47.552;7.606
456;3;50.306;8.57
457;31;47.052;15.41
458;13;51.842;5.858
459;37;52.2;21.052
460;-1;51.276;6.39
461;27;50.92;12.238
462;29;52.54;13.42
463;21;51.712;8.754
464;23;53.55;10.018
465;24;48.424;11.258
466;-1;42.714;23.274
467;23;53.582;9.712
468;18;51.056;3.732
469;18;51.068;3.748
470;18;51.076;3.714
471;6;47.976;7.824
472;-1;50.848;3.272
473;-1;50.942;4.028
474;16;51.002;4.786
475;17;50.868;4.38
476;29;52.46;13.528
477;6;48.228;7.776
478;18;50.874;3.656
479;8;51.358;6.744
480;4;47.162;9.806
481;18;51.104;3.712
482;-1;50.836;3.266
483;29;52.512;13.424
484;28;51.128;14.178
485;-1;51.908;7.662
486;9;51.488;7.146
487;-1;48.432;10.886
488;34;50.102;19.964
489;-1;51.516;9.944
490;-1;51.02;6.128
491;-1;42.678;23.288
492;-1;49.036;12.112
493;17;50.824;4.408
494;-1;49.006;12.1
495;29;52.544;13.374
496;44;53.398;-1.514
497;26;52.944;9.098
498;14;51.912;4.494
499;18;51.01;3.632
500;-1;48.546;9.896
501;7;50.912;6.822
502;24;48.13;11.63
503;0;48.83;9.162
504;21;51.91;8.352
505;15;50.902;5.412
506;-1;51.652;7.25
507;-1;43.6;1.444
508;23;53.284;10.314
509;31;47.06;15.472
510;8;51.388;6.764
511;-1;51.472;6.466
512;-1;50.958;7.142
513;38;44.792;20.482
514;36;54.178;19.434
515;39;45.436;4.39
516;37;52.198;20.908
517;22;52.272;9.58
518;21;51.816;8.662
519;37;52.16;20.91
520;17;50.854;4.38
521;31;47.068;15.432
522;-1;50.178;8.186
523;-1;46.296;7.524
524;37;52.22;20.982
525;37;52.304;20.99
526;7;51.106;7.164
527;18;51.014;3.786
528;18;51.038;3.712
529;21;51.982;9.232
530;-1;50.086;8.278
531;-1;47.20527;10.897135
532;-1;48.532;8.026
533;-1;50.85;2.904
534;15;50.954;5.322
535;18;51.064;3.688
536;-1;42.658;23.302
537;-1;42.658;23.364
538;-1;42.672;23.316
539;-1;42.178;26.578
540;-1;42.678;26.324
541;29;52.392;13.406
542;-1;50.828;3.264
543;-1;48.962;9.018
544;3;49.881;8.48
545;-1;50.942;4.028
546;17;50.928;4.44
547;34;50.578;17.878
548;34;50.674;17.954
549;44;53.364;-1.48
550;4;47.93;9.766
551;37;52.24;20.942
552;27;50.701;13.091
553;21;51.452;8.964
554;-1;53.108;18.326
555;29;52.486;13.518
556;17;50.852;4.372
557;-1;50.796;3.86
558;22;52.274;10.532
559;37;52.168;20.878
560;0;48.724;9.104
561;-1;53.096;18.328
562;-1;43.204;23.552
563;-1;42.702;23.314
564;-1;48.988;2.408
565;37;52.25;21.066
566;24;48.01;11.326
567;25;49.476;11.016
568;-1;48.27;9.996
569;13;51.838;5.838
570;-1;51.738;6.532
